Source,Target,Value
9720111,9721111,13
9721011,9721111,12
1011111,1021111,11
1011111,1031111,11
1021111,1031111,11
9110111,9111111,11
9111011,9111111,11
9120111,9121111,11
9121011,9121111,11
9130111,9131111,11
9131011,9131111,11
9720011,9720111,11
9720011,9721011,11
9720011,9721111,11
9720111,9721011,11
9721110,9721111,11
9730111,9731111,11
9731011,9731111,11
1010111,1011111,10
1010111,1020111,10
1010111,1021111,10
1010111,1030111,10
1010111,1031111,10
1011101,1011111,10
1011101,1021101,10
1011101,1021111,10
1011101,1031101,10
1011101,1031111,10
1011111,1020111,10
1011111,1021101,10
1011111,1030111,10
1011111,1031101,10
1020111,1021111,10
1020111,1030111,10
1020111,1031111,10
1021101,1021111,10
1021101,1031101,10
1021101,1031111,10
1021111,1030111,10
1021111,1031101,10
1030111,1031111,10
1031101,1031111,10
1810111,1811111,10
1811011,1811111,10
1911111,1921111,10
1930111,1931111,10
2311110,2311111,10
2321110,2321111,10
2321111,2331111,10
2611111,2621111,10
2621110,2621111,10
2621111,2631111,10
9110011,9110111,10
9110011,9111011,10
9110011,9111111,10
9110111,9111011,10
9120011,9120111,10
9120011,9121011,10
9120011,9121111,10
9120111,9121011,10
9121111,9131111,10
9130011,9130111,10
9130011,9131011,10
9130011,9131111,10
9130111,9131011,10
9220111,9221111,10
9221110,9221111,10
9221111,9231111,10
9230111,9231111,10
9231110,9231111,10
9711111,9721111,10
9720110,9720111,10
9720110,9721110,10
9720110,9721111,10
9720111,9721110,10
9721111,9731111,10
9730011,9730111,10
9730011,9731011,10
9730011,9731111,10
9730111,9731011,10
9731110,9731111,10
1010101,1010111,9
1010101,1011101,9
1010101,1011111,9
1010101,1020101,9
1010101,1020111,9
1010101,1021101,9
1010101,1021111,9
1010101,1030101,9
1010101,1030111,9
1010101,1031101,9
1010101,1031111,9
1010111,1011101,9
1010111,1020101,9
1010111,1021101,9
1010111,1030101,9
1010111,1031101,9
1011101,1020101,9
1011101,1020111,9
1011101,1030101,9
1011101,1030111,9
1011111,1020101,9
1011111,1030101,9
1020101,1020111,9
1020101,1021101,9
1020101,1021111,9
1020101,1030101,9
1020101,1030111,9
1020101,1031101,9
1020101,1031111,9
1020111,1021101,9
1020111,1030101,9
1020111,1031101,9
1021101,1030101,9
1021101,1030111,9
1021111,1030101,9
1030101,1030111,9
1030101,1031101,9
1030101,1031111,9
1030111,1031101,9
1510111,1511111,9
1510111,1530111,9
1510111,1531111,9
1511111,1530111,9
1511111,1531111,9
1530111,1531111,9
1531011,1531111,9
1611111,1621111,9
1611111,1631111,9
1621111,1631111,9
1810011,1810111,9
1810011,1811011,9
1810011,1811111,9
1810111,1811011,9
1810111,1820111,9
1810111,1821111,9
1811111,1820111,9
1811111,1821111,9
1820111,1821111,9
1910111,1911111,9
1910111,1920111,9
1910111,1921111,9
1911111,1920111,9
1911111,1931111,9
1920111,1921111,9
1921111,1931111,9
1931011,1931111,9
1931110,1931111,9
2221010,2221011,9
2221010,2221110,9
2221010,2221111,9
2221011,2221110,9
2221011,2221111,9
2221110,2221111,9
2311110,2321110,9
2311110,2321111,9
2311110,2331110,9
2311110,2331111,9
2311111,2321110,9
2311111,2321111,9
2311111,2331110,9
2311111,2331111,9
2321110,2331110,9
2321110,2331111,9
2321111,2331110,9
2331110,2331111,9
2611110,2611111,9
2611110,2621110,9
2611110,2621111,9
2611111,2621110,9
2611111,2631111,9
2621110,2631110,9
2621110,2631111,9
2621111,2631110,9
2631110,2631111,9
9111101,9111111,9
9111111,9121111,9
9111111,9131111,9
9120111,9130111,9
9120111,9131111,9
9121011,9131011,9
9121011,9131111,9
9121101,9121111,9
9121111,9130111,9
9121111,9131011,9
9131101,9131111,9
9211111,9231111,9
9220110,9220111,9
9220110,9221110,9
9220110,9221111,9
9220111,9221110,9
9220111,9230111,9
9220111,9231111,9
9221011,9221111,9
9221110,9231110,9
9221110,9231111,9
9221111,9230111,9
9221111,9231110,9
9230110,9230111,9
9230110,9231110,9
9230110,9231111,9
9230111,9231110,9
9231011,9231111,9
9710111,9711111,9
9710111,9720111,9
9710111,9721111,9
9711011,9711111,9
9711011,9721011,9
9711011,9721111,9
9711111,9720111,9
9711111,9721011,9
9720111,9730111,9
9720111,9731111,9
9721010,9721011,9
9721010,9721110,9
9721010,9721111,9
9721011,9721110,9
9721011,9731011,9
9721011,9731111,9
9721111,9730111,9
9721111,9731011,9
9730110,9730111,9
9730110,9731110,9
9730110,9731111,9
9730111,9731110,9
9731010,9731011,9
9731010,9731110,9
9731010,9731111,9
9731011,9731110,9
1220111,1221111,8
1230111,1231111,8
1510011,1510111,8
1510011,1511011,8
1510011,1511111,8
1510011,1530011,8
1510011,1530111,8
1510011,1531011,8
1510011,1531111,8
1510111,1511011,8
1510111,1530011,8
1510111,1531011,8
1511011,1511111,8
1511011,1530011,8
1511011,1530111,8
1511011,1531011,8
1511011,1531111,8
1511111,1530011,8
1511111,1531011,8
1520111,1521111,8
1521011,1521111,8
1530011,1530111,8
1530011,1531011,8
1530011,1531111,8
1530111,1531011,8
